Country Name,Country Code,Region,Income group,Year,Energy use (kg of oil equivalents per capita),Population,CO2 emissions (metric tons per capita),Renewable energy consumption (% of energy),"GDP per capita, PPP",Electric power consumption (kWh per capita),Access to electricity (% of population),Forest area (% of land)
Aruba,ABW,Latin America & Caribbean,High income,1990,,62149,26.374503210,0.268747069,24004.825077531,,88.445350647,2.333333260
Afghanistan,AFG,South Asia,Low income,1990,,12249114,0.213449805,15.924531683,,,0.010000000,2.067824648
Angola,AGO,Sub-Saharan Africa,Lower middle income,1990,483.357393755,12171441,0.420284254,72.255251922,2995.661116415,51.760510526,11.397808075,48.909922195
Albania,ALB,Europe & Central Asia,Upper middle income,1990,813.255695500,3286542,1.678106654,25.518087626,2608.926432860,552.252184819,100,28.788320722
Andorra,AND,Europe & Central Asia,High income,1990,,54509,7.467335669,14.273550207,,,100,34.042553191
United Arab Emirates,ARE,Middle East & North Africa,High income,1990,10979.654053868,1860174,27.959245210,0,71376.150909646,8355.669953456,100,3.449732470
Argentina,ARG,Latin America & Caribbean,High income,1990,1407.386750013,32729739,3.426481983,8.922907467,7325.682567143,1299.552067922,90.640823364,12.713533502
Armenia,ARM,Europe & Central Asia,Upper middle income,1990,2178.547354349,3538165,,2.118944341,2418.860926369,2722.597730745,97.680374146,11.766772041
American Samoa,ASM,East Asia & Pacific,Upper middle income,1990,,47038,,0,,,,91.949996948
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1990,1481.760705290,66696,4.233522250,0,10587.593414690,,85.123199463,23.409091343
Australia,AUS,East Asia & Pacific,High income,1990,5061.508458784,17065100,15.452881671,8.009577159,17338.467195325,8527.228085391,100,16.732098460
Austria,AUT,Europe & Central Asia,High income,1990,3240.111359300,7677850,7.513246156,25.135754146,19452.466361669,6111.476520120,100,45.725357229
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1990,3165.494901523,7159000,,0.722062718,5502.433988642,2575.639055734,95.870231628,10.238292657
Burundi,BDI,Sub-Saharan Africa,Low income,1990,,5415415,0.038597042,95.200672223,666.927137204,,0.348627061,11.253894081
Belgium,BEL,Europe & Central Asia,High income,1990,4809.867268015,9967379,10.639671673,1.269461495,18768.806905327,6380.313219754,100,
Benin,BEN,Sub-Saharan Africa,Low income,1990,333.698169086,4978496,0.142157591,93.703240856,945.376745499,34.950314312,7.311272144,51.090812345
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1990,,8811034,0.066173051,93.158060289,545.726240775,,2.610557318,25.025584795
Bangladesh,BGD,South Asia,Lower middle income,1990,119.954580453,106188642,0.146281294,71.664971303,832.434081720,48.366754704,8.544374466,11.477298917
Bulgaria,BGR,Europe & Central Asia,Upper middle income,1990,3237.352650273,8718289,8.543010790,1.916848509,5191.149543927,4758.731902556,100,30.073217030
Bahrain,BHR,Middle East & North Africa,High income,1990,10555.270793719,495931,25.058854962,0,22694.907256237,15621.124712914,,0.318840578
"Bahamas, The",BHS,Latin America & Caribbean,High income,1990,2517.466696055,256336,7.610495600,0,20031.133144376,,90.791198730,51.448551449
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1990,1572.245689518,4463422,,7.300098695,,2937.656354250,96.885650635,43.1640625
Belarus,BLR,Europe & Central Asia,Upper middle income,1990,4465.375012268,10189000,,0.817357745,5407.630822928,4380.900971636,100,38.355353974
Belize,BLZ,Latin America & Caribbean,Upper middle income,1990,566.338935335,187552,1.661912430,38.011632695,3306.538672847,,87.964736938,70.847436620
Bermuda,BMU,North America,High income,1990,,59326,8.468108418,0,26210.910900747,,100,18.518518191
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1990,380.761098934,6856244,0.839700279,37.359001589,2396.114889321,266.472430094,56.382167816,57.966398966
Brazil,BRA,Latin America & Caribbean,Upper middle income,1990,938.767548334,149352145,1.398620609,49.864674927,6686.227659182,1457.347666483,87.475116,65.409887846
Barbados,BRB,Latin America & Caribbean,High income,1990,1236.637759531,260374,4.126491124,18.942176524,9147.802432965,,,14.651163234
Brunei Darussalam,BRN,East Asia & Pacific,High income,1990,6673.060648801,258785,23.933238016,0.671759471,54726.564282607,4324.052785131,100,78.368121442
Bhutan,BTN,South Asia,Lower middle income,1990,104.182080107,537280,0.238879169,95.898852170,1502.880658009,,0.010000000,53.650451934
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1990,884.158785176,1377912,1.961358200,47.584637843,5131.423474187,718.478393395,6.043880463,24.205529970
Central African Republic,CAF,Sub-Saharan Africa,Low income,1990,,2939780,0.067358102,93.494280964,597.892869785,,0.010000000,36.213040547
Canada,CAN,North America,High income,1990,7602.674930733,27791000,15.659070382,22.020753693,20107.830687728,16109.279982728,100,38.299072635
Switzerland,CHE,Europe & Central Asia,High income,1990,3627.692811233,6715519,6.345085168,17.123910040,27609.045916967,7445.292016894,100,29.117863554
Channel Islands,CHI,Europe & Central Asia,High income,1990,,140671,,,,,100,4.040404256
Chile,CHL,Latin America & Caribbean,High income,1990,1057.938026898,13242132,2.515810521,34.026870573,4507.114743932,1240.661246996,92.257427,20.527696667
China,CHN,East Asia & Pacific,Upper middle income,1990,766.995329396,1135185000,2.151570906,34.083614045,986.568376178,510.619854914,92.216011047,16.738006950
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1990,354.190180207,12267754,0.410408539,73.582349235,2064.231663528,155.937264474,36.659492493,32.144654088
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1990,425.160675627,11715218,0.148054522,81.593135075,1952.243722255,200.166996466,30.129716873,51.439571831
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1990,340.848759660,34614581,0.117591197,92.047731644,896.354534630,130.869704880,0.010000000,70.736419576
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1990,322.599005022,2440457,0.486838326,65.413786813,3322.420799289,168.001321064,0.010000000,66.547584187
Colombia,COL,Latin America & Caribbean,Upper middle income,1990,706.784326890,34271565,1.673025787,38.251196691,4825.114338952,841.864093455,89.9,58.059486255
Comoros,COM,Sub-Saharan Africa,Low income,1990,43.360155520,411594,0.151457504,49.838573521,1667.862770667,,15.299549103,26.329929282
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1990,84.959246292,341883,0.278873182,36.634041520,1070.914065160,,32.558101654,14.330024814
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1990,541.807399560,3095995,0.954653351,45.380780900,5043.377666162,1080.105103529,97.474662781,50.215432824
Cuba,CUB,Latin America & Caribbean,Upper middle income,1990,1645.064141921,10582081,3.150989961,42.890201096,,1214.033421215,92.521926880,19.162011173
Curacao,CUW,Latin America & Caribbean,High income,1990,10030.15130674,145400,,0,,4662.998624484,100,
Cayman Islands,CYM,Latin America & Caribbean,High income,1990,,25010,9.970251899,0,,,100,52.916665872
Cyprus,CYP,Europe & Central Asia,High income,1990,1780.703196133,766614,5.706562886,0.495929367,13178.995472009,2430.166941903,100,17.436147252
Czech Republic,CZE,Europe & Central Asia,High income,1990,4796.941458026,10333355,,3.571507027,12666.462647430,5600.407612049,100,34.023553772
Germany,DEU,Europe & Central Asia,High income,1990,4421.364530868,79433029,,2.098033775,19433.157445003,6639.731691460,100,32.366167330
Djibouti,DJI,Middle East & North Africa,Lower middle income,1990,220.286396634,590398,0.546573667,26.592829844,,,59.609077454,0.241587571
Dominica,DMA,Latin America & Caribbean,Upper middle income,1990,298.502580154,70926,0.827228379,14.603100563,4272.688532186,,66.030433655,66.666666667
Denmark,DNK,Europe & Central Asia,High income,1990,3376.783307485,5140939,9.770698699,7.041559801,18225.018982025,5944.828366958,100,12.814343293
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1990,558.884644527,7183647,1.284840277,28.011579411,3540.005792141,388.521317932,79.598693848,22.873111157
Algeria,DZA,Middle East & North Africa,Upper middle income,1990,856.158875799,25912367,2.970409071,0.177228303,6616.408352461,528.434936106,98.271377563,0.699908470
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1990,619.492231964,10218091,1.646869557,24.198549133,4829.416723316,481.303210159,88.941749573,52.849478433
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1990,561.742810306,57412215,1.322777217,8.502466180,3727.149688382,662.733531532,93.956466675,0.044201115
Eritrea,ERI,Sub-Saharan Africa,Low income,1990,,3113311,,,,,17.840946198,16.049504950
Spain,ESP,Europe & Central Asia,High income,1990,2317.476773934,38867322,5.624190007,10.544431183,13634.442321039,3536.749972123,100,27.649948411
Estonia,EST,Europe & Central Asia,High income,1990,6232.731997854,1569174,,3.356078624,,5755.894502458,100,52.040575607
Ethiopia,ETH,Sub-Saharan Africa,Low income,1990,476.924425134,48086516,0.062760650,96.635386775,421.378823590,22.501110290,0.010000000,
Finland,FIN,Europe & Central Asia,High income,1990,5691.571185884,4986431,10.377168961,24.508431476,18158.938577037,12485.683648285,100,71.817853508
Fiji,FJI,East Asia & Pacific,Upper middle income,1990,392.252562350,728628,1.117269718,53.094005781,3807.735433005,,60.461788177,52.156542114
France,FRA,Europe & Central Asia,High income,1990,3828.409260414,58512808,6.420670907,10.408019132,17566.303897673,5940.750613097,100,26.363944416
Faroe Islands,FRO,Europe & Central Asia,High income,1990,,47594,14.947220238,2.544771435,,,100,0.057306586
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1990,,96331,,,1758.708959493,,28.036981583,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1990,1240.695349355,952212,4.725217704,78.280665369,12603.959619176,916.812642563,64.612884521,85.380525478
United Kingdom,GBR,Europe & Central Asia,High income,1990,3597.051620657,57247586,9.710881678,0.651133978,16934.432549326,5356.575210001,100,11.482660274
Georgia,GEO,Europe & Central Asia,Lower middle income,1990,2585.263223657,4802000,,12.773997579,5160.588167720,3039.150354019,97.334014893,39.602820550
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1990,361.699409226,14628260,0.260957011,80.626421969,1240.701881898,326.764769016,23.536262512,37.914212886
Gibraltar,GIB,Europe & Central Asia,High income,1990,1972.877520230,29164,4.903751200,0,,2537.374845700,100,0
Guinea,GIN,Sub-Saharan Africa,Low income,1990,,6041094,0.166320537,89.297144180,912.589246676,,6.429067135,29.562103207
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1990,67.398518556,916808,0.191987854,61.441869779,973.639122388,,16.232353210,43.675889328
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1990,73.729221164,1012280,0.170258229,88.579605434,1017.245404967,,0.010000000,78.805120910
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1990,,426846,0.154636567,84.710859607,646.012805281,,58.591442108,66.310160428
Greece,GRC,Europe & Central Asia,High income,1990,2102.677685296,10196792,7.284521642,7.806882299,13297.977680860,3221.405320418,100,25.593483320
Grenada,GRD,Latin America & Caribbean,Upper middle income,1990,441.141187956,96283,1.104483658,8.342131789,4680.510114855,,81.560829163,49.970587562
Greenland,GRL,Europe & Central Asia,High income,1990,,55600,9.958938849,0,,,100,0.000643840
Guatemala,GTM,Latin America & Caribbean,Upper middle income,1990,476.167103114,9263813,0.549031916,74.965329915,3296.798439904,200.457414242,60.189201355,44.307577454
Guam,GUM,East Asia & Pacific,High income,1990,,130482,,0,,,,46.296296296
Guyana,GUY,Latin America & Caribbean,Upper middle income,1990,514.033706036,743309,1.524403714,42.233942301,1858.407520812,,68.210601807,84.632969266
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1990,1510.633885529,5704500,4.791623806,1.073856299,17434.294020366,4177.929704619,100,
Honduras,HND,Latin America & Caribbean,Lower middle income,1990,480.205346649,4955328,0.523188172,70.129082249,2073.180545518,367.886848257,54.744518280,72.714272947
Croatia,HRV,Europe & Central Asia,High income,1990,1980.098326360,4780000,,21.923179713,,2964.644351464,100,33.088892864
Haiti,HTI,Latin America & Caribbean,Low income,1990,219.793085147,7099732,0.139971058,81.119573203,1354.239748786,58.312060230,28.001398087,4.208998549
Hungary,HUN,Europe & Central Asia,High income,1990,2774.492027560,10373988,6.713650623,3.856669561,,3426.551100695,100,20.040057861
Indonesia,IDN,East Asia & Pacific,Lower middle income,1990,543.704869035,181436821,0.824341653,58.597531136,2989.534149817,162.502847203,61.701145172,65.437714248
Isle of Man,IMN,Europe & Central Asia,High income,1990,,68429,,,,,100,6.070175506
India,IND,South Asia,Lower middle income,1990,351.340769005,870133480,0.711562800,58.652858348,1134.222287355,273.046613492,43.291561127,21.505184667
Ireland,IRL,Europe & Central Asia,High income,1990,2820.410168089,3513974,8.883722816,2.279781342,13745.445368679,3767.529298737,100,6.749891131
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1990,1233.037062714,56226185,3.743163403,1.238359584,7363.390293302,943.226007598,95.579505920,5.572373812
Iraq,IRQ,Middle East & North Africa,Upper middle income,1990,1147.367637710,17469005,2.730149885,1.596326357,7446.875137462,1305.168783225,93.480209351,1.838260512
Iceland,ISL,Europe & Central Asia,High income,1990,8907.791983550,254826,7.842665191,54.672154951,21637.486637135,16148.273724031,100,0.160598508
Israel,ISR,Middle East & North Africa,High income,1990,2460.465450644,4660000,7.788833906,5.800245158,15048.465731254,4176.180257511,100,6.099815157
Italy,ITA,Europe & Central Asia,High income,1990,2583.888077485,56719240,7.361704582,3.781463481,18557.105978500,4144.907442342,100,25.806670973
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1990,1148.657188515,2424242,3.106957969,7.633355058,4710.487183788,866.250151594,70.334586,31.819021801
Jordan,JOR,Middle East & North Africa,Upper middle income,1990,919.501643271,3560582,2.921791718,2.765358064,4061.075701367,935.240362390,96.8,1.104941070
Japan,JPN,East Asia & Pacific,High income,1990,3551.161773396,123537000,8.873292835,4.550664024,19436.521218951,6805.540040636,100,68.431157433
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1990,4492.853070712,16348000,,1.407717208,8434.960627395,5905.003670174,97.720809937,1.267548246
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1990,457.725234309,23402507,0.248827871,77.504004595,1538.537487835,125.200261664,3.318389893,8.300242471
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1990,1704.814629259,4391200,,7.927699743,2245.792714510,2330.570231372,99.174186707,4.358706986
Cambodia,KHM,East Asia & Pacific,Lower middle income,1990,,8973342,0.140577279,,,,0.010000000,73.328801269
Kiribati,KIR,East Asia & Pacific,Lower middle income,1990,98.224810805,72412,0.303844667,5.220941832,1256.210651178,,31.559732437,14.999999529
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1990,528.991771563,40834,2.604275849,40.032326176,9865.044070037,,87.542396545,42.307692308
"Korea, Rep.",KOR,East Asia & Pacific,High income,1990,2167.339607709,42869283,5.760374252,1.631946867,8276.034959033,2373.214406222,,66.037735849
Kuwait,KWT,Middle East & North Africa,High income,1990,4338.508726600,2099615,24.290470396,0.165242348,,8206.266386933,100,0.193602696
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1990,,4258472,0.049944205,88.445097009,1103.958955549,,15.302614212,76.451041554
Lebanon,LBN,Middle East & North Africa,Upper middle income,1990,722.857356375,2703016,3.038857336,11.341680910,3742.375349594,517.939960400,97.908699036,12.805474096
Liberia,LBR,Sub-Saharan Africa,Low income,1990,,2097232,0.225555876,88.817239138,,,0.010000000,51.173172757
Libya,LBY,Middle East & North Africa,Upper middle income,1990,2517.101937696,4436661,8.290020355,3.129308451,,1576.861518155,99.835929871,0.123327688
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1990,404.672721352,138185,1.167623114,5.467459385,6206.229662036,,83.723205566,35.737703667
Liechtenstein,LIE,Europe & Central Asia,High income,1990,,28747,,,,,100,40.625
